Atom Nr.1

Distance label: 83 		 Original label: 84
Distance label: 84 		 Original label: 85
Distance label: 85 		 Original label: 86
Distance label: 86 		 Original label: 87
Distance label: 87 		 Original label: 88
Distance label: 88 		 Original label: 89
Distance label: 89 		 Original label: 90
Distance label: 90 		 Original label: 91
Distance label: 91 		 Original label: 92
Distance label: 92 		 Original label: 93
Distance label: 93 		 Original label: 94
Distance label: 94 		 Original label: 95
Distance label: 95 		 Original label: 96
Distance label: 96 		 Original label: 97
Distance label: 97 		 Original label: 98
Distance label: 98 		 Original label: 99
Distance label: 99 		 Original label: 100
Distance label: 100 		 Original label: 101
Distance label: 101 		 Original label: 102
Distance label: 102 		 Original label: 103
Distance label: 103 		 Original label: 104
Distance label: 104 		 Original label: 105
Distance label: 105 		 Original label: 106
Distance label: 106 		 Original label: 107
Distance label: 107 		 Original label: 109
Distance label: 108 		 Original label: 110
Distance label: 109 		 Original label: 111
Distance label: 110 		 Original label: 112
Distance label: 111 		 Original label: 113
Distance label: 112 		 Original label: 114
Distance label: 113 		 Original label: 115
Distance label: 114 		 Original label: 116
Distance label: 115 		 Original label: 117
Distance label: 116 		 Original label: 118
Distance label: 117 		 Original label: 119
Distance label: 118 		 Original label: 120
Distance label: 119 		 Original label: 121
Distance label: 120 		 Original label: 122
Distance label: 121 		 Original label: 123
Distance label: 122 		 Original label: 124
Distance label: 123 		 Original label: 125
Distance label: 124 		 Original label: 126
Distance label: 125 		 Original label: 127
Distance label: 126 		 Original label: 128
Distance label: 127 		 Original label: 129
Distance label: 128 		 Original label: 130
Distance label: 129 		 Original label: 131
Distance label: 130 		 Original label: 132
Distance label: 131 		 Original label: 133
Distance label: 132 		 Original label: 134
Distance label: 133 		 Original label: 135
Distance label: 134 		 Original label: 136
Distance label: 135 		 Original label: 137
Distance label: 136 		 Original label: 138
Distance label: 137 		 Original label: 139
Distance label: 138 		 Original label: 140
Distance label: 139 		 Original label: 141
Distance label: 140 		 Original label: 142
Distance label: 141 		 Original label: 143
Distance label: 142 		 Original label: 145
Distance label: 143 		 Original label: 146
Distance label: 144 		 Original label: 147
Distance label: 145 		 Original label: 148
Distance label: 146 		 Original label: 149
Distance label: 147 		 Original label: 150
Distance label: 148 		 Original label: 151
Distance label: 149 		 Original label: 152
Distance label: 150 		 Original label: 153
Distance label: 151 		 Original label: 154
Distance label: 152 		 Original label: 155
Distance label: 153 		 Original label: 156
Distance label: 154 		 Original label: 157
Distance label: 155 		 Original label: 158
Distance label: 156 		 Original label: 159
Distance label: 157 		 Original label: 160
Distance label: 158 		 Original label: 161
Distance label: 159 		 Original label: 162
Distance label: 160 		 Original label: 163
Distance label: 161 		 Original label: 164
Distance label: 162 		 Original label: 165
Distance label: 163 		 Original label: 166
Distance label: 164 		 Original label: 167
Distance label: 165 		 Original label: 168
Distance label: 166 		 Original label: 169
